key,source,translation
Loading prompt,Loading...,กำลังโหลด...
Engagement prompt,Press %1 to start,กด %1 เพื่อเริ่ม
ControllerDisconnectedPrompt header,Controller disconnected!,คอนโทรลเลอร์ขาดการเชื่อมต่อ!
ControllerDisconnectedPrompt body,Please connect a controller to continue.,โปรดเชื่อมต่อคอนโทรลเลอร์เพื่อดำเนินการต่อ
PS_ControllerDisconnectedPrompt body,Please connect a wireless controller to continue.,โปรดเชื่อมต่อคอนโทรลเลอร์ไร้สายเพื่อดำเนินการต่อ
ControllerDisconnectedPrompt option 'Connect',Connect,เชื่อมต่อ
UserNotSignedIn prompt,Not signed in!,ยังไม่ได้ลงชื่อเข้าใช้!
UserNotSignedIn body,Please sign in to continue.,โปรดลงชื่อเข้าใช้เพื่อดำเนินการต่อ
UserNotSignedIn option 'Sign in',Sign in,ลงชื่อเข้าใช้
UserNotSignedIn option 'Play as guest',Play as guest,เล่นในฐานะผู้เยี่ยมชม
GuestWarningPrompt header,Playing as guest,กำลังเล่นในฐานะผู้เยี่ยมชม
GuestWarningPrompt body,Warning: progress will not be saved!,คำเตือน: ความคืบหน้าจะไม่ถูกบันทึก!
GuestWarningPrompt option 'OK',OK,ตกลง
UserSignedOutPrompt header,User signed out!,ผู้ใช้ลงชื่อออกแล้ว!
UserSignedOutPrompt body,Please sign in to continue.,โปรดลงชื่อเข้าใช้เพื่อดำเนินการต่อ
UserSignedOutPrompt option 'OK',Sign in,ลงชื่อเข้าใช้
UserChangedWarningPrompt header,User change detected!,ตรวจพบการเปลี่ยนผู้ใช้!
UserChangedWarningPrompt body,"Please sign back in to continue playing as %1, or quit and return to the main menu.",โปรดลงชื่อเข้าใช้อีกครั้งเพื่อเล่นต่อในฐานะ %1 หรือออกไปยังเมนูหลัก
UserChangedWarningPrompt option 'Sign in',Sign in,ลงชื่อเข้าใช้
UserChangedWarningPrompt option 'Quit',Quit,ออก
LoadErrorPrompt header,Load error!,โหลดผิดพลาด!
LoadErrorPrompt body,Data could not be loaded.,ไม่สามารถโหลดข้อมูลได้
LoadErrorPrompt option 'Try again',Try again,ลองอีกครั้ง
LoadErrorPrompt option 'Continue',Continue,ดำเนินการต่อ
SaveErrorPrompt header,Save error!,บันทึกผิดพลาด!
SaveErrorPrompt body,Data could not be saved.,ไม่สามารถบันทึกข้อมูลได้
SaveErrorPrompt option 'Try again',Try again,ลองอีกครั้ง
SaveErrorPrompt option 'Continue',Continue.,ดำเนินการต่อ
SavingPrompt,Saving...,กำลังบันทึก...
RateThisGame,Rate this game,ให้คะแนนเกมนี้
LaterButton,Later,ไว้ภายหลัง
player_died,You have died.,คุณตายแล้ว
disabled_interactions,Not right now.,ยังไม่ใช่ตอนนี้
ok,OK,ตกลง
yes,Yes,ใช่
no,No,ไม่
open,Open,เปิด
close,Close,ปิด
back,Back,ย้อนกลับ
select,Select,เลือก
play,Play,เล่น
options,Options,ตัวเลือก
controls,Controls,การควบคุม
screen_mode,Screen mode,โหมดหน้าจอ
screen_mode_w,Windowed,หน้าต่าง
screen_mode_full,Fullscreen,เต็มหน้าจอ
credits,Credits,ทีมผู้จัดทำ
exit,Exit,ออกจากเกม
master,Master volume,ระดับเสียงหลัก
music,Music,เสียงเพลง
sfx,SFX,เสียงเอฟเฟกต์
language,Language,ภาษา
resolution,Resolution,ความละเอียด
cursor_mode,Mouse cursor,เคอร์เซอร์เมาส์
leave_feedback,(speak) Leave feedback,(speak) แสดงความคิดเห็น
news,News,ข่าวสาร
update_game,Update available,มีอัปเดตพร้อมให้ติดตั้ง
pick_a_save_slot,Pick a save slot,เลือกช่องบันทึกเกม
save_slot_descr,Played: %1 days,เล่นมาแล้ว: %1 วัน
new game,New game,เกมใหม่
delete_slot,Delete selected game?,ลบเกมที่เลือกหรือไม่?
loading,Loading,กำลังโหลด
status_saving,Saving progress...,กำลังบันทึกความคืบหน้า...
equip,Equip,สวมใส่
unequip,Unequip,ถอดออก
not_equipped,Not equipped,ยังไม่ได้สวมใส่
is_broken,is broken,ชำรุด
effectivity,effectiveness,ประสิทธิผล
damage,damage,ความเสียหาย
armor,armor,เกราะ
use,Use,ใช้
destroy,Destroy,ทำลาย
pause,Pause,หยุดชั่วคราว
continue,Continue,เล่นต่อ
restart,Restart,เริ่มใหม่
save and exit,Save and exit,บันทึกและออก
exit to menu,Exit to main menu,ออกไปยังเมนูหลัก
exit_menu_confirm_txt,All unsaved progress will be lost.,ความคืบหน้าทั้งหมดที่ยังไม่ได้บันทึกจะหายไป
exit_menu_confirm,Are you sure?,แน่ใจหรือไม่?
put,Put,ใส่
take,Take,หยิบ
finish offer,Finish offer,ยืนยันข้อเสนอ
craft,Craft,ผลิต
btn_craft,Craft,ผลิต
select_item_craft,Select object to craft,เลือกสิ่งที่จะผลิต
no_influencing_perks,No influencing perks/buffs available,ไม่มีความสามารถพิเศษหรือบัฟที่ส่งผล
pick_resource,Pick a resource,เลือกทรัพยากร
craft_pick_res_hint,Pick a resource to use,เลือกทรัพยากรที่จะใช้
craft_pick_res_hint_garden,Pick a seed or a fertilizer,เลือกเมล็ดพันธุ์หรือปุ๋ย
mf_grindstone_1,Grindstone,หินลับมีด
